feature,importance
FP_978,0.017115656286478043
FP_1791,0.013389664702117443
FP_1654,0.012108463793992996
MolMR,0.011396009474992752
FP_994,0.01057949848473072
FP_674,0.009542140178382397
FP_9,0.009524038061499596
FP_1544,0.009198708459734917
FP_1136,0.008963251486420631
FP_1795,0.008512367494404316
FP_1648,0.00839264690876007
FP_653,0.0077477325685322285
FP_1745,0.007351779844611883
FP_486,0.0071400236338377
FP_1199,0.0070799184031784534
FP_1017,0.006866537965834141
FP_167,0.006865884177386761
FP_849,0.006376257166266441
FP_1325,0.006272810976952314
FP_1832,0.006214997731149197
