molecule_chembl_id,canonical_smiles,standard_type,standard_relation,standard_value,standard_units,pchembl_value,activity_comment,assay_chembl_id,assay_type,target_chembl_id,target_pref_name,document_chembl_id,src_id,data_validity_comment,is_active,safety_category,target_common_name,activity_class,activity_class_label
CHEMBL296979,CC(C(=O)N[C@]1(c2ccccc2)CC[C@@H](N2CCN(C(C)C)CC2)CC1)c1cc(C(F)(F)F)cc(C(F)(F)F)c1,Ki,=,1200.0,nM,5.92,,CHEMBL824627,B,CHEMBL240,Voltage-gated inwardly rectifying potassium channel KCNH2,CHEMBL1135170,1,,1,Cardiac Safety,hERG,2,potent
CHEMBL3085129,CC(C(=O)NC1(c2ccccc2)CCC(N2CCC3(CCCO3)CC2)CC1)c1cc(C(F)(F)F)cc(C(F)(F)F)c1,Ki,=,730.0,nM,6.14,,CHEMBL824627,B,CHEMBL240,Voltage-gated inwardly rectifying potassium channel KCNH2,CHEMBL1135170,1,,1,Cardiac Safety,hERG,2,potent
CHEMBL296397,CC(C(=O)N[C@]1(c2ccccc2)CC[C@@H](N2CCC(c3ccc(F)cc3)CC2)CC1)c1cc(C(F)(F)F)cc(C(F)(F)F)c1,Ki,=,43.0,nM,7.37,,CHEMBL824627,B,CHEMBL240,Voltage-gated inwardly rectifying potassium channel KCNH2,CHEMBL1135170,1,,1,Cardiac Safety,hERG,2,potent
CHEMBL3085124,CC(C(=O)N[C@]1(c2ccccc2)CC[C@H](N2CCCCC2)CC1)c1cc(C(F)(F)F)cc(C(F)(F)F)c1,Ki,=,1200.0,nM,5.92,,CHEMBL824627,B,CHEMBL240,Voltage-gated inwardly rectifying potassium channel KCNH2,CHEMBL1135170,1,,1,Cardiac Safety,hERG,2,potent
CHEMBL3085128,CC1CCN([C@H]2CC[C@](NC(=O)C(C)c3cc(C(F)(F)F)cc(C(F)(F)F)c3)(c3ccccc3)CC2)CC1,Ki,=,460.0,nM,6.34,,CHEMBL824627,B,CHEMBL240,Voltage-gated inwardly rectifying potassium channel KCNH2,CHEMBL1135170,1,,1,Cardiac Safety,hERG,2,potent
CHEMBL431732,CC(C(=O)N[C@]1(c2ccccc2)CC[C@@H](N2CCC(=O)CC2)CC1)c1cc(C(F)(F)F)cc(C(F)(F)F)c1,Ki,=,4000.0,nM,5.4,,CHEMBL824627,B,CHEMBL240,Voltage-gated inwardly rectifying potassium channel KCNH2,CHEMBL1135170,1,,1,Cardiac Safety,hERG,2,potent
CHEMBL297344,CC(C(=O)N[C@]1(c2ccccc2)CC[C@@H](N2CCC3(CC2)OCCO3)CC1)c1cc(C(F)(F)F)cc(C(F)(F)F)c1,Ki,=,1000.0,nM,6.0,,CHEMBL824627,B,CHEMBL240,Voltage-gated inwardly rectifying potassium channel KCNH2,CHEMBL1135170,1,,1,Cardiac Safety,hERG,2,potent
CHEMBL298858,CC(C(=O)N[C@]1(c2ccccc2)CC[C@@H](N2CCC(O)CC2)CC1)c1cc(C(F)(F)F)cc(C(F)(F)F)c1,Ki,=,1400.0,nM,5.85,,CHEMBL824627,B,CHEMBL240,Voltage-gated inwardly rectifying potassium channel KCNH2,CHEMBL1135170,1,,1,Cardiac Safety,hERG,2,potent
CHEMBL3085132,CC(C(=O)NC1(c2ccccc2)CCC(N2CCC3(CC2)CCC(C)(C)O3)CC1)c1cc(C(F)(F)F)cc(C(F)(F)F)c1,Ki,=,950.0,nM,6.02,,CHEMBL824627,B,CHEMBL240,Voltage-gated inwardly rectifying potassium channel KCNH2,CHEMBL1135170,1,,1,Cardiac Safety,hERG,2,potent
CHEMBL3085130,CC(C(=O)NC1(c2ccccc2)CCC(N2CCC(O)(Cc3ccccc3)CC2)CC1)c1cc(C(F)(F)F)cc(C(F)(F)F)c1,Ki,=,260.0,nM,6.58,,CHEMBL824627,B,CHEMBL240,Voltage-gated inwardly rectifying potassium channel KCNH2,CHEMBL1135170,1,,1,Cardiac Safety,hERG,2,potent
CHEMBL3085127,CC(C(=O)NC1(c2ccccc2)CCC(N2CCC3(CCOC3)CC2)CC1)c1cc(C(F)(F)F)cc(C(F)(F)F)c1,Ki,=,710.0,nM,6.15,,CHEMBL824627,B,CHEMBL240,Voltage-gated inwardly rectifying potassium channel KCNH2,CHEMBL1135170,1,,1,Cardiac Safety,hERG,2,potent
CHEMBL3085133,CC(C(=O)NC1(c2ccccc2)CCC(N2CCC(C3CCOC3=O)CC2)CC1)c1cc(C(F)(F)F)cc(C(F)(F)F)c1,Ki,=,490.0,nM,6.31,,CHEMBL824627,B,CHEMBL240,Voltage-gated inwardly rectifying potassium channel KCNH2,CHEMBL1135170,1,,1,Cardiac Safety,hERG,2,potent
CHEMBL3085131,CC(C(=O)N[C@]1(c2ccccc2)CC[C@H](N2CCC(C3CCOC3(C)C)CC2)CC1)c1cc(C(F)(F)F)cc(C(F)(F)F)c1,Ki,=,2200.0,nM,5.66,,CHEMBL824627,B,CHEMBL240,Voltage-gated inwardly rectifying potassium channel KCNH2,CHEMBL1135170,1,,1,Cardiac Safety,hERG,2,potent
CHEMBL3085126,CC(C(=O)NC1(c2ccccc2)CCC(N2CCC(C3CCC(=O)O3)CC2)CC1)c1cc(C(F)(F)F)cc(C(F)(F)F)c1,Ki,=,400.0,nM,6.4,,CHEMBL824627,B,CHEMBL240,Voltage-gated inwardly rectifying potassium channel KCNH2,CHEMBL1135170,1,,1,Cardiac Safety,hERG,2,potent
CHEMBL3085125,CC(C(=O)N[C@]1(c2ccccc2)CC[C@H](N(C)C)CC1)c1cc(C(F)(F)F)cc(C(F)(F)F)c1,Ki,=,1900.0,nM,5.72,,CHEMBL824627,B,CHEMBL240,Voltage-gated inwardly rectifying potassium channel KCNH2,CHEMBL1135170,1,,1,Cardiac Safety,hERG,2,potent
CHEMBL12713,O=C1NCCN1CCN1CCC(c2cn(-c3ccc(F)cc3)c3ccc(Cl)cc23)CC1,IC50,=,14.0,nM,7.85,,CHEMBL841079,T,CHEMBL240,Voltage-gated inwardly rectifying potassium channel KCNH2,CHEMBL1134478,1,,1,Cardiac Safety,hERG,2,potent
CHEMBL1108,O=C(CCCN1CC=C(n2c(=O)[nH]c3ccccc32)CC1)c1ccc(F)cc1,IC50,=,32.2,nM,7.49,,CHEMBL691014,F,CHEMBL240,Voltage-gated inwardly rectifying potassium channel KCNH2,CHEMBL1135758,1,,1,Cardiac Safety,hERG,2,potent
